Start Time,End Time,Duration,Name,Model Name,Agent Name,Exam Name,Attempt Id,Questions,Correct,Incorrect,Accuracy,Num Errors,Input Tokens,Output Tokens,Total Tokens,Tokens per Question,Total Cost,Cost per Question,Runtime,Runtime per Question
2025-03-22 11:33:23.390924,2025-03-22 11:33:44.363646,20,gpt-35-turbo - baseline - logiqa-en-100,gpt-35-turbo,baseline,logiqa-en-100,1,2,0,2,0.0,2,0,0,0,0.0,0.0,0.0,20.972722,10.486361
2025-03-22 12:25:34.662002,2025-03-22 12:26:18.522795,43,deepseek - baseline - logiqa-en-100,deepseek,baseline,logiqa-en-100,1,2,0,2,0.0,2,0,0,0,0.0,0.0,0.0,43.860793,21.9303965
2025-03-22 12:27:55.448933,2025-03-22 12:28:22.782322,27,deepseek - baseline - logiqa-en-100,deepseek,baseline,logiqa-en-100,1,2,1,1,0.5,1,0,0,0,0.0,0.0,0.0,27.333389,13.6666945
2025-03-22 12:31:48.794460,2025-03-22 12:32:00.730057,11,deepseek - baseline - logiqa-en-100,deepseek,baseline,logiqa-en-100,1,2,2,0,1.0,0,0,0,0,0.0,0.0,0.0,11.935597,5.9677985
2025-03-22 12:33:02.487771,2025-03-22 12:35:10.156203,127,deepseek - baseline - logiqa-en-100,deepseek,baseline,logiqa-en-100,1,10,5,5,0.5,4,0,0,0,0.0,0.0,0.0,127.668432,12.7668432
2025-03-22 12:38:07.574929,2025-03-22 12:40:29.426357,141,deepseek - baseline - logiqa-en-100,deepseek,baseline,logiqa-en-100,1,10,8,2,0.8,2,0,0,0,0.0,0.0,0.0,141.851428,14.1851428
2025-03-22 14:40:40.270129,2025-03-22 14:42:47.551496,127,gpt-35-turbo - baseline - logiqa-en-100,gpt-35-turbo,baseline,logiqa-en-100,1,10,0,10,0.0,9,0,0,0,0.0,0.0,0.0,127.281367,12.7281367
2025-03-22 14:55:06.332954,2025-03-22 15:24:15.423014,1749,deepseek - baseline - logiqa-en-100,deepseek,baseline,logiqa-en-100,1,100,31,69,0.31,46,0,0,0,0.0,0.0,0.0,1749.09006,17.4909006
2025-03-22 15:37:03.395404,2025-03-22 15:38:11.551614,68,gpt-35-turbo - baseline - logiqa-en-100,gpt-35-turbo,baseline,logiqa-en-100,1,10,0,10,0.0,10,0,0,0,0.0,0.0,0.0,68.15621,6.815621
2025-03-22 15:38:41.414433,2025-03-22 15:40:00.407110,78,gpt-35-turbo - baseline - logiqa-en-100,gpt-35-turbo,baseline,logiqa-en-100,1,10,0,10,0.0,10,0,0,0,0.0,0.0,0.0,78.992677,7.8992677
2025-03-23 07:56:14.327313,2025-03-23 07:58:46.838213,152,phi-4 - baseline - logiqa-en-100,phi-4,baseline,logiqa-en-100,1,10,6,4,0.6,2,0,0,0,0.0,0.0,0.0,152.5109,15.25109
2025-03-23 09:04:26.940035,2025-03-23 09:04:42.934753,15,phi-4 - baseline - logiqa-en-100,phi-4,baseline,logiqa-en-100,1,1,0,1,0.0,0,0,0,0,0.0,0.0,0.0,15.994718,15.994718
2025-03-23 09:05:23.871877,2025-03-23 09:05:40.626933,16,phi-4 - baseline - logiqa-en-100,phi-4,baseline,logiqa-en-100,1,1,0,1,0.0,0,0,0,0,0.0,0.0,0.0,16.755056,16.755056
2025-03-23 09:57:53.002039,2025-03-23 10:00:42.399932,169,phi-4 - baseline - logiqa-en-100,phi-4,baseline,logiqa-en-100,1,10,6,4,0.6,3,0,0,0,0.0,0.0,0.0,169.397893,16.9397893
2025-03-23 11:53:04.315383,2025-03-23 11:56:08.666966,184,phi-4 - baseline - logiqa-en-100,phi-4,baseline,logiqa-en-100,1,10,3,7,0.3,7,0,0,0,0.0,0.0,0.0,184.351583,18.4351583
2025-03-23 12:33:22.165991,2025-03-23 12:35:18.361400,116,phi-4 - baseline - logiqa-en-100,phi-4,baseline,logiqa-en-100,1,10,5,5,0.5,6,0,0,0,0.0,0.0,0.0,116.195409,11.6195409
2025-03-23 12:36:38.760236,2025-03-23 12:37:00.394210,21,phi-4 - baseline - logiqa-en-100,phi-4,baseline,logiqa-en-100,1,10,6,4,0.6,7,0,0,0,0.0,0.0,0.0,21.633974,2.1633974
